4, 6, 0
5.65, 4.65, 0
7.9, 5.45, 0
6.3, 6.85, 0
4.2, 8.25, 0
5.45, 7.45, 0
6.4, 7.45, 0
5.95, 7.9, 0
5.55, 8.75, 0
6.95, 8.75, 0
6.5, 8.1, 0
8.15, 8.9, 0
7.65, 9.35, 0
6.3, 9.35, 0
9, 9.4, 0
9.45, 9.4, 0
9.65, 8.85, 0
9.65, 7.95, 0
7.25, 8.15, 0
8.95, 8.3, 0
7.85, 7.8, 0
7.55, 7.15, 0
8.4, 6.75, 0
8.45, 5.9, 0
8.65, 7.1, 0
9.25, 7.1, 0
10.15, 7.35, 0
10.2, 8.35, 0
10.8, 9.05, 0
10.1, 9.4, 0
8.65, 8.45, 0
8.3, 8.05, 0
9.15, 7.55, 0
6.4, 9.3, 0
8.1, 9.2, 0
8.5, 9.25, 0
7.5, 8.6, 0
6.25, 8.6, 0
4.9, 7.75, 0
10.7, 11.85, 0
11.35, 8.9, 0
11.35, 8.2, 0
9.25, 10.35, 0
10.05, 6.55, 0
10.8, 6.55, 0
2.1, 8, 0
4.4, 8.85, 0
7.85, 10.3, 0
0.6, 10.6, 1
1.35, 10.1, 1
2.35, 11.6, 1
4.25, 11.15, 1
4.05, 12.4, 1
6, 11.95, 1
5.4, 12.6, 1
5.5, 12.6, 1
2.4, 11, 0
4.75, 12.05, 0
0.9, 12.5, 1
2.75, 10.1, 1
5.85, 2.65, 1
6.05, 1.75, 1
7.75, 8.01, 1
7.42, 8.65, 1
7.35, 3.55, 1
7.85, 2.3, 1
9.4, 4.05, 1
9.4, 3.45, 1
9.4, 2.7, 1
10.35, 3.3, 1
8.85, 2.05, 1
11.15, 1.7, 1
10.4, 1.85, 1
11, 3, 1
11.2, 4.3, 1
11.8, 2.95, 1
11.8, 2.25, 1
7.2, 2.7, 1
7.05, 2.3, 1
8.55, 1.55, 1
7.05, 1.25, 1
8.35, 3.8, 1
9.45, 1.75, 1
11.4, 3.6, 0
7.1, 7.45, 0
6.95, 6.95, 0
8.1, 6.95, 0
8.8, 7.75, 0
5.6, 5.95, 0
7.25, 6.95, 0
6.45, 8.7, 0
9.45, 9.45, 0
10.2, 8.35, 0
10.75, 7.1, 0
10.3, 6.85, 0
10.25, 7.8, 0
