3.4, 7.8, 0
3.15, 7.35, 0
2.65, 6.15, 0
3.15, 6.4, 0
2.7, 6.7, 0
3.9, 6.7, 0
3.7, 5.95, 0
3.4, 5.55, 0
3.8, 5.05, 0
4.85, 5.05, 0
5.15, 4.5, 0
6.25, 4.95, 0
6.45, 6.6, 0
5.6, 6.05, 0
6.5, 6.05, 0
6.55, 8.95, 0
5.7, 8.65, 0
6.15, 8, 0
6.75, 8.05, 0
6.65, 7.05, 0
5, 8.7, 0
3.85, 8.55, 0
4.55, 8.95, 0
5.2, 9.45, 0
3.6, 9.55, 0
3.05, 8.75, 0
2.7, 7.85, 0
7.1, 8.3, 0
7.1, 6.85, 0
7.1, 4.85, 0
5.65, 5.25, 0
7.1, 5.35, 0
6.05, 7.5, 0
4.05, 5.85, 1
3.6, 7.9, 1
6.2, 7.35, 1
5.05, 7.35, 0
4.35, 6.45, 0
5.05, 5.95, 0
4.7, 7.2, 0
3.85, 7.9, 0
4.4, 8.05, 0
5.5, 7.8, 0
5.5, 6.9, 0
6.05, 5.7, 0
2.65, 9.5, 0
2.15, 9.5, 0
1.4, 9.15, 0
2.25, 8.55, 0
2.45, 9.05, 0
1.85, 8.3, 0
6.9, 4.45, 0
7.3, 3.85, 0
8.6, 3.7, 0
7.75, 5.3, 0
7.4, 6.2, 0
8.45, 5.1, 0
7.65, 7.1, 0
8.35, 5.8, 0
0.7, 9.95, 0
1.1, 9, 0
1.6, 7.6, 0
6.4, 10.2, 1
6.95, 9.85, 1
7.65, 9.55, 1
7.45, 10.3, 1
9.4, 7.8, 1
9.45, 8.75, 1
1.75, 2.45, 1
1.15, 4.4, 1
3.8, 3.4, 1
1.5, 0.8, 1
4.2, 0.85, 1
3.25, 1.75, 1
2.7, 2.55, 1
2.05, 1.6, 1
5.4, 2.4, 1
8.1, 10.35, 1
7.2, 11.5, 1
